college,program,url,scraped_on,content
Belk College of Business,"Accounting, B.S. ",https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11459,2025-06-23T21:41:12.855245,
Belk College of Business,"Business Administration, B.S.B.A ",https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11941,2025-06-23T21:41:19.685920,
Belk College of Business,"Business Analytics, B.S.B.A. ",https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11632,2025-06-23T21:41:27.557461,
Belk College of Business,"Economics, Business Concentration, B.S.",https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11464,2025-06-23T21:41:35.676244,
Belk College of Business,"Economics, Liberal Arts Concentration, B.S. ",https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11465,2025-06-23T21:41:43.673004,
Belk College of Business,"Finance, Finance Concentration, B.S.B.A. ",https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11467,2025-06-23T21:41:51.598803,
